ID,LTV,CLTV,Orig_Bal,Orig_Date,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
736,87.04,87.04,470000,26-05-2006,360,7.1,CO,658,Owner Occupied,ARM
2746,78.33,78.33,470000,18-08-2006,360,8.15,CA,614,Owner Occupied,Fix
4081,72.31,72.31,470000,31-08-2006,360,9.05,CA,543,Owner Occupied,ARM
3353,90,90,469800,31-08-2006,360,8.5,IL,604,Owner Occupied,ARM
3372,80,100,469200,25-08-2006,360,8.7,CA,666,Owner Occupied,ARM
4508,94.75,94.75,469000,05-09-2006,360,7.65,CA,725,Owner Occupied,ARM
688,80,100,468000,05-09-2006,360,7.1,NY,655,Owner Occupied,ARM
999,80,100,468000,17-08-2006,360,7.5,CA,627,Owner Occupied,ARM
1918,90,90,468000,17-08-2006,480,7.95,CA,610,Owner Occupied,ARM
3008,90,90,468000,23-08-2006,480,8,NY,611,Owner Occupied,ARM
3171,90,90,468000,08-09-2006,360,7.7,CA,651,Owner Occupied,ARM
1622,80,100,467200,21-08-2006,360,7.3,CA,630,Owner Occupied,ARM
4047,72.66,72.66,465000,31-08-2006,480,7.35,CA,509,Owner Occupied,ARM
4899,82.3,100,465000,29-08-2006,360,7.5,OH,642,Owner Occupied,ARM
912,80,100,464000,19-09-2006,360,7.5,CA,637,Owner Occupied,ARM
